ID	Type	RA	Decl	I	V	V_I	P	A_1	A_2
OGLE-LMC-ECL-02716	ELL	04:54:44.41	-71:19:18.8	18.427	19.377	0.950	12.11025100	0.773	0.350
OGLE-LMC-ECL-02722	ELL	04:54:44.85	-66:47:48.9	16.764	16.643	-0.121	0.93892090	0.795	0.551
OGLE-LMC-ECL-02723	ELL	04:54:44.99	-69:43:51.4	16.066	16.062	-0.004	2.40800020	0.085	0.059
OGLE-LMC-ECL-02729	ELL	04:54:45.99	-66:36:36.4	17.142	17.068	-0.074	1.47750170	0.210	0.102
OGLE-LMC-ECL-02743	ELL	04:54:47.94	-67:19:35.1	16.127	16.026	-0.101	3.21369060	0.110	0.085
OGLE-LMC-ECL-02750	ELL	04:54:48.56	-70:02:16.6	19.877	20.256	0.379	2.91055200	0.591	0.199
OGLE-LMC-ECL-02755	ELL	04:54:49.29	-67:37:53.8	18.102	18.194	0.092	2.41352970	0.489	0.126
OGLE-LMC-ECL-02759	ELL	04:54:50.07	-67:08:10.9	15.756	15.598	-0.158	1.55774510	0.218	0.215
OGLE-LMC-ECL-02764	ELL	04:54:50.45	-67:04:32.2	16.743	17.133	0.390	21.48826030	0.124	0.098
OGLE-LMC-ECL-02768	ELL	04:54:51.07	-69:32:05.3	18.325	18.340	0.015	12.04298630	0.103	0.102
OGLE-LMC-ECL-02771	ELL	04:54:51.50	-69:41:32.3	17.992	19.105	1.113	124.36492070	0.096	0.088
OGLE-LMC-ECL-02776	C	04:54:52.22	-67:08:03.4	17.987	17.917	-0.070	0.52497300	0.718	0.710
OGLE-LMC-ECL-02784	ELL	04:54:53.11	-69:10:05.0	17.435	18.464	1.029	31.12007310	0.052	0.046
OGLE-LMC-ECL-02790	ELL	04:54:53.56	-68:03:17.4	16.531	16.494	-0.037	1.93283180	0.156	0.083
OGLE-LMC-ECL-02792	ELL	04:54:53.92	-70:26:50.1	18.914	19.188	0.274	1.65905370	0.286	0.227
OGLE-LMC-ECL-02795	ELL	04:54:54.16	-68:54:04.7	18.575	18.678	0.103	1.18736620	0.119	0.073
OGLE-LMC-ECL-02805	ELL	04:54:55.76	-66:42:45.5	19.592	19.729	0.137	0.55936380	0.512	0.260
OGLE-LMC-ECL-02806	ELL	04:54:55.87	-67:51:50.2	19.061	19.832	0.771	5.49951470	0.356	0.121
OGLE-LMC-ECL-02808	ELL	04:54:56.10	-69:33:17.2	16.073	15.979	-0.094	9.23444090	0.294	0.096
OGLE-LMC-ECL-02811	ELL	04:54:56.50	-68:41:15.5	17.940	18.088	0.148	2.15764380	0.237	0.084
OGLE-LMC-ECL-02813	ELL	04:54:57.08	-68:18:23.4	17.904	18.546	0.642	29.75671050	0.569	0.270
OGLE-LMC-ECL-02815	ELL	04:54:57.56	-69:50:49.7	17.547	17.695	0.148	1.34306170	0.422	0.200
OGLE-LMC-ECL-02817	ELL	04:54:57.84	-70:34:46.6	16.988	17.050	0.062	2.76809130	0.151	0.124
OGLE-LMC-ECL-02825	ELL	04:54:58.68	-68:45:00.1	19.695	20.130	0.435	0.76092560	0.490	0.467
OGLE-LMC-ECL-02829	ELL	04:54:58.93	-70:24:51.8	19.543	20.178	0.635	1.95301670	0.585	0.542
OGLE-LMC-ECL-02830	ELL	04:54:59.01	-68:51:28.4	17.543	18.066	0.523	1.39659960	0.204	0.080
OGLE-LMC-ECL-02831	ELL	04:54:59.07	-70:18:28.8	17.620	18.099	0.479	5.68660880	0.261	0.133
OGLE-LMC-ECL-02836	ELL	04:55:00.21	-67:29:53.1	17.665	18.374	0.709	4.25101210	0.212	0.062
OGLE-LMC-ECL-02840	ELL	04:55:01.25	-67:31:53.9	19.088	19.304	0.216	4.95826050	0.765	0.259
OGLE-LMC-ECL-02841	ELL	04:55:01.38	-68:43:57.1	19.080	19.209	0.129	1.31647270	0.915	0.214
OGLE-LMC-ECL-02867	ELL	04:55:04.39	-66:36:54.0	18.207	18.117	-0.090	0.59681970	0.117	0.076
OGLE-LMC-ECL-02872	C	04:55:05.32	-67:37:11.2	18.376	18.405	0.029	0.98029180	0.269	0.256
OGLE-LMC-ECL-02880	ELL	04:55:06.57	-69:20:27.4	15.975	17.433	1.458	124.04203660	0.168	0.110
OGLE-LMC-ECL-02934	ELL	04:55:20.05	-67:15:37.7	17.516	17.844	0.328	6.17046690	0.148	0.115
OGLE-LMC-ECL-03196	ELL	04:55:57.14	-67:14:58.8	15.356	15.174	-0.182	2.64146300	0.122	0.066
OGLE-LMC-ECL-03207	ELL	04:55:59.32	-67:09:11.4	17.814	17.743	-0.071	0.54497580	0.124	0.072
OGLE-LMC-ECL-03480	ELL	04:56:39.89	-68:44:23.1	16.942	17.771	0.829	44.77018710	0.074	0.069
OGLE-LMC-ECL-03487	ELL	04:56:40.76	-67:40:56.9	17.561	18.065	0.504	0.96927910	0.120	0.077
OGLE-LMC-ECL-03512	ELL	04:56:43.27	-69:34:15.7	15.559	17.093	1.534	271.42901220	0.054	0.035
OGLE-LMC-ECL-03515	ELL	04:56:43.43	-67:58:46.4	16.728	16.714	-0.014	5.42866710	0.030	0.025
OGLE-LMC-ECL-03637	ELL	04:57:03.50	-68:19:59.4	17.675	17.714	0.039	0.77487350	0.138	0.091
OGLE-LMC-ECL-03669	C	04:57:07.92	-68:01:23.8	18.150	18.209	0.059	6.20268020	0.086	0.066
OGLE-LMC-ECL-03685	C	04:57:10.69	-69:46:31.5	16.555	16.611	0.056	0.49017200	0.299	0.295
OGLE-LMC-ECL-03755	ELL	04:57:17.58	-69:45:59.6	16.908	16.854	-0.054	1.56390500	0.045	0.043
OGLE-LMC-ECL-03803	C	04:57:24.11	-66:38:04.6	16.449	16.298	-0.151	1.49521330	0.059	0.055
OGLE-LMC-ECL-03838	C	04:57:30.57	-68:49:50.4	15.567	15.477	-0.090	0.78735780	0.409	0.404
OGLE-LMC-ECL-03864	ELL	04:57:34.01	-67:29:08.3	16.395	16.333	-0.062	26.67900700	0.020	0.019
OGLE-LMC-ECL-03923	ELL	04:57:42.47	-68:13:06.8	15.239	16.572	1.333	123.97478590	0.114	0.107
OGLE-LMC-ECL-04229	C	04:58:26.97	-68:53:15.9	18.327	18.451	0.124	0.42329660	0.242	0.240
OGLE-LMC-ECL-04329	C	04:58:45.52	-69:32:40.3	17.470	17.518	0.048	0.56613120	0.264	0.250
OGLE-LMC-ECL-04341	C	04:58:48.47	-66:57:53.8	17.490	17.401	-0.089	0.56736200	0.660	0.643
OGLE-LMC-ECL-04349	ELL	04:58:50.54	-69:54:21.1	16.692	17.958	1.266	88.20347430	0.059	0.046
