ID	Type	RA	Decl	I	V	V_I	P	A_1	A_2
OGLE-LMC-ECL-14371	C	05:23:15.61	-69:44:51.8	17.013	18.145	1.132	19.47529140	0.128	0.120
OGLE-LMC-ECL-14384	C	05:23:17.17	-69:43:24.1	19.345	19.282	-0.063	2.10309410	0.290	0.262
OGLE-LMC-ECL-14399	ELL	05:23:19.47	-70:33:38.0	15.491	17.175	1.684	337.73001250	0.054	0.036
OGLE-LMC-ECL-14423	ELL	05:23:21.78	-71:17:06.7	16.458	17.715	1.257	135.13675680	0.075	0.059
OGLE-LMC-ECL-14485	ELL	05:23:29.53	-69:23:30.9	14.817	16.537	1.720	458.97064920	0.101	0.081
OGLE-LMC-ECL-14515	C	05:23:33.96	-70:23:09.3	16.675	16.679	0.004	8.23936680	0.065	0.065
OGLE-LMC-ECL-14580	ELL	05:23:43.95	-69:13:29.7	18.575	18.595	0.020	5.85097420	0.133	0.086
OGLE-LMC-ECL-14600	ELL	05:23:47.03	-69:48:18.7	18.087	19.022	0.935	13.19539630	0.125	0.117
OGLE-LMC-ECL-14621	C	05:23:49.69	-67:57:26.1	16.796	17.409	0.613	0.59367560	0.278	0.273
OGLE-LMC-ECL-14748	ELL	05:24:12.76	-70:21:04.0	18.110	18.913	0.803	1.66397380	0.144	0.083
OGLE-LMC-ECL-14811	ELL	05:24:22.75	-69:17:49.9	14.771	14.645	-0.126	1.31208860	0.055	0.042
OGLE-LMC-ECL-14893	ELL	05:24:34.84	-70:10:26.3	15.361	16.046	0.685	94.63201880	0.088	0.074
OGLE-LMC-ECL-14911	ELL	05:24:36.92	-70:33:15.1	15.578	17.099	1.521	245.32716100	0.087	0.051
OGLE-LMC-ECL-14933	C	05:24:39.73	-69:48:00.9	17.979	19.175	1.196	126.03491510	0.092	0.085
OGLE-LMC-ECL-14934	ELL	05:24:39.76	-69:38:14.4	16.934	18.059	1.125	24.39757450	0.061	0.058
OGLE-LMC-ECL-14972	ELL	05:24:45.25	-68:58:02.0	13.571	14.329	0.758	0.41899320	0.089	0.077
OGLE-LMC-ECL-15000	ELL	05:24:49.03	-71:07:51.9	18.519	19.133	0.614	12.29430740	0.127	0.115
OGLE-LMC-ECL-15057	C	05:24:56.17	-70:02:50.4	18.770	19.798	1.028	6.21664030	0.374	0.349
OGLE-LMC-ECL-15079	C	05:24:58.88	-68:28:47.8	13.755	13.602	-0.153	0.82460940	0.278	0.277
OGLE-LMC-ECL-15102	C	05:25:01.78	-70:45:25.2	17.388	17.497	0.109	0.88366120	0.105	0.101
OGLE-LMC-ECL-15114	C	05:25:02.61	-68:31:11.1	15.390	15.220	-0.170	0.99217720	0.672	0.575
OGLE-LMC-ECL-15160	ELL	05:25:09.31	-70:49:09.8	17.578	17.940	0.362	1.62526700	0.093	0.054
OGLE-LMC-ECL-15245	ELL	05:25:22.75	-69:29:51.0	17.885	18.560	0.675	26.81250370	0.159	0.132
OGLE-LMC-ECL-15256	ELL	05:25:25.06	-68:21:47.7	15.710	17.442	1.732	107.31121110	0.092	0.013
OGLE-LMC-ECL-15264	C	05:25:26.33	-69:54:51.6	18.728	19.217	0.489	1.34670440	0.348	0.277
OGLE-LMC-ECL-15283	C	05:25:28.83	-71:09:19.8	17.931	19.130	1.199	14.87127010	0.149	0.143
OGLE-LMC-ECL-15301	C	05:25:31.29	-69:26:13.5	16.583	16.485	-0.098	0.73730380	0.069	0.067
OGLE-LMC-ECL-15324	ELL	05:25:33.72	-69:43:52.2	18.513	19.426	0.913	9.65720270	0.207	0.155
OGLE-LMC-ECL-15366	ELL	05:25:40.94	-69:00:17.4	17.997	18.018	0.021	8.88180990	0.118	0.069
OGLE-LMC-ECL-15367	C	05:25:40.98	-68:38:45.9	18.785	18.880	0.095	5.82915560	0.098	0.093
OGLE-LMC-ECL-15415	ELL	05:25:49.74	-69:41:37.2	17.727	17.645	-0.082	14.51512190	0.045	0.044
OGLE-LMC-ECL-15444	C	05:25:54.31	-69:27:24.1	17.139	17.091	-0.048	0.57451160	0.554	0.541
OGLE-LMC-ECL-15449	C	05:25:55.07	-71:49:11.5	18.115	18.197	0.082	0.51528320	0.283	0.247
OGLE-LMC-ECL-15498	ELL	05:26:00.70	-69:40:35.3	17.760	18.348	0.588	18.92569000	0.170	0.139
OGLE-LMC-ECL-15539	C	05:26:05.79	-68:36:27.1	15.564	15.577	0.013	0.81286970	0.171	0.165
OGLE-LMC-ECL-15633	ELL	05:26:18.59	-67:54:03.9	15.923	17.450	1.527	173.70533770	0.069	0.064
OGLE-LMC-ECL-15637	ELL	05:26:18.90	-70:00:27.4	17.964	18.759	0.795	0.97569150	0.100	0.079
OGLE-LMC-ECL-15704	C	05:26:25.94	-70:05:49.4	17.744	18.920	1.176	13.26384990	0.263	0.261
OGLE-LMC-ECL-15707	ELL	05:26:26.66	-70:07:37.9	18.150	19.245	1.095	108.11997990	0.205	0.198
OGLE-LMC-ECL-15786	ELL	05:26:36.97	-70:45:06.8	17.044	17.016	-0.028	2.58335640	0.071	0.045
OGLE-LMC-ECL-15816	C	05:26:40.56	-68:48:59.1	15.380	15.197	-0.183	1.19353660	0.150	0.137
OGLE-LMC-ECL-15847	C	05:26:44.26	-70:19:18.6	18.674	18.665	-0.009	0.48299330	0.821	0.790
OGLE-LMC-ECL-15851	C	05:26:44.75	-69:47:35.1	17.875	18.975	1.100	19.47565400	0.116	0.094
OGLE-LMC-ECL-15871	ELL	05:26:47.19	-71:37:33.5	15.581	17.036	1.455	116.41015280	0.199	0.087
OGLE-LMC-ECL-15994	C	05:27:00.82	-68:50:09.8	15.756	15.608	-0.148	0.67695790	0.598	0.595
OGLE-LMC-ECL-16014	C	05:27:03.96	-71:43:41.2	19.094	19.501	0.407	1.31566610	0.493	0.475
OGLE-LMC-ECL-16083	C	05:27:11.41	-69:50:53.3	17.147	16.930	-0.217	1.53853020	0.368	0.365
OGLE-LMC-ECL-16130	C	05:27:17.86	-69:05:16.9	14.090	13.918	-0.172	1.93191590	0.110	0.097
OGLE-LMC-ECL-16165	C	05:27:21.90	-70:05:03.8	17.330	17.250	-0.080	0.77376230	0.199	0.197
OGLE-LMC-ECL-16211	ELL	05:27:29.26	-69:51:35.9	16.240	17.527	1.287	105.25974290	0.073	0.068
OGLE-LMC-ECL-16219	ELL	05:27:29.73	-70:44:15.6	17.206	17.581	0.375	8.38899520	0.075	0.047
OGLE-LMC-ECL-16225	ELL	05:27:30.41	-70:01:04.0	17.601	18.652	1.051	89.01410850	0.067	0.064
OGLE-LMC-ECL-16230	ELL	05:27:30.84	-69:58:21.6	17.843	18.889	1.046	67.04094000	0.039	0.035
OGLE-LMC-ECL-16333	ELL	05:27:43.92	-69:39:14.7	18.000	19.001	1.001	18.98518910	0.107	0.078
OGLE-LMC-ECL-16361	ELL	05:27:46.57	-68:21:47.1	18.151	18.112	-0.039	0.92316800	0.082	0.066
OGLE-LMC-ECL-16388	ELL	05:27:50.12	-69:46:15.6	18.222	19.109	0.887	4.69314000	0.128	0.104
OGLE-LMC-ECL-16427	ELL	05:27:54.81	-69:06:41.8	17.941	17.805	-0.136	13.28996400	0.092	0.090
OGLE-LMC-ECL-16439	ELL	05:27:56.23	-69:15:53.3	18.168	18.119	-0.049	21.17660290	0.087	0.084
OGLE-LMC-ECL-16440	C	05:27:56.23	-69:16:24.0	18.333	18.404	0.071	1.14710770	0.211	0.201
OGLE-LMC-ECL-16447	ELL	05:27:57.04	-70:21:18.2	16.962	18.081	1.119	16.00886900	0.043	0.035
OGLE-LMC-ECL-16452	ELL	05:27:57.53	-69:12:05.5	17.980	18.082	0.102	1.46237760	0.105	0.064
OGLE-LMC-ECL-16463	ELL	05:27:58.45	-69:54:57.9	16.450	16.436	-0.014	3.98363730	0.082	0.035
OGLE-LMC-ECL-16499	ELL	05:28:02.74	-68:12:29.7	17.824	17.794	-0.030	4.38758230	0.077	0.066
OGLE-LMC-ECL-16532	C	05:28:06.72	-69:01:11.7	14.358	14.289	-0.069	0.74376960	0.147	0.143
OGLE-LMC-ECL-16543	C	05:28:09.04	-69:02:43.5	14.657	14.700	0.043	2.41141210	0.275	0.253
OGLE-LMC-ECL-16546	C	05:28:09.32	-69:56:43.9	18.593	18.918	0.325	1.79038720	0.332	0.326
OGLE-LMC-ECL-16557	ELL	05:28:10.36	-70:19:32.4	18.393	19.407	1.014	15.61787030	0.185	0.167
OGLE-LMC-ECL-16562	C	05:28:10.93	-68:59:02.9	16.660	16.530	-0.130	0.71162430	0.081	0.079
OGLE-LMC-ECL-16564	ELL	05:28:11.18	-69:26:05.2	16.293	17.546	1.253	181.25206420	0.025	0.018
OGLE-LMC-ECL-16629	C	05:28:18.93	-69:04:52.5	13.776	13.698	-0.078	2.92329950	0.166	0.140
OGLE-LMC-ECL-16638	ELL	05:28:20.16	-69:07:09.7	15.575	15.456	-0.119	1.12521200	0.053	0.034
OGLE-LMC-ECL-16639	ELL	05:28:20.61	-70:59:22.3	13.550	13.799	0.249	178.32316060	0.055	0.053
OGLE-LMC-ECL-16718	ELL	05:28:30.23	-69:09:14.6	14.873	14.711	-0.162	1.33292850	0.112	0.091
OGLE-LMC-ECL-16734	ELL	05:28:31.36	-71:35:40.7	16.650	16.533	-0.117	0.75788300	0.045	0.026
OGLE-LMC-ECL-16754	ELL	05:28:33.40	-69:50:50.0	16.676	18.542	1.866	84.30551390	0.112	0.095
OGLE-LMC-ECL-16773	ELL	05:28:35.27	-70:00:53.7	16.679	16.597	-0.082	1.11867460	0.105	0.066
OGLE-LMC-ECL-16779	C	05:28:35.70	-70:26:44.1	18.331	18.429	0.098	0.78596600	0.300	0.271
OGLE-LMC-ECL-16852	C	05:28:42.88	-69:17:27.3	18.188	19.346	1.158	56.95620440	0.105	0.104
OGLE-LMC-ECL-16862	C	05:28:44.78	-69:51:27.2	18.121	18.259	0.138	18.37456020	0.077	0.068
OGLE-LMC-ECL-16959	ELL	05:28:57.40	-68:47:16.7	16.339	16.242	-0.097	1.29033230	0.104	0.073
OGLE-LMC-ECL-17002	C	05:29:01.76	-69:50:56.4	17.680	18.710	1.030	24.78489770	0.152	0.137
OGLE-LMC-ECL-17117	ELL	05:29:15.26	-69:24:13.0	17.350	18.597	1.247	36.36215830	0.072	0.054
OGLE-LMC-ECL-17161	ELL	05:29:21.02	-71:01:46.1	13.926	13.839	-0.087	6.39810040	0.091	0.077
OGLE-LMC-ECL-17169	ELL	05:29:21.73	-69:01:16.5	15.079	14.932	-0.147	1.55064600	0.109	0.079
OGLE-LMC-ECL-17170	ELL	05:29:21.85	-70:43:18.6	15.680	17.040	1.360	146.00371120	0.029	0.017
OGLE-LMC-ECL-17181	ELL	05:29:22.86	-69:28:54.2	15.036	14.937	-0.099	4.80511000	0.162	0.083
OGLE-LMC-ECL-17185	C	05:29:23.32	-69:31:53.4	16.914	17.865	0.951	8.94591740	0.626	0.586
OGLE-LMC-ECL-17246	ELL	05:29:31.99	-70:11:08.4	15.604	17.079	1.475	383.79479870	0.038	0.035
OGLE-LMC-ECL-17259	ELL	05:29:33.57	-70:14:20.2	15.998	17.439	1.441	105.30311480	0.187	0.122
OGLE-LMC-ECL-17357	ELL	05:29:46.13	-70:09:38.9	17.392	18.547	1.155	87.75386630	0.115	0.111
OGLE-LMC-ECL-17385	C	05:29:49.22	-69:36:45.1	17.915	18.994	1.079	15.28903280	0.156	0.139
OGLE-LMC-ECL-17392	ELL	05:29:49.93	-69:12:04.1	18.260	18.274	0.014	0.43476000	0.134	0.130
OGLE-LMC-ECL-17424	C	05:29:53.36	-71:42:23.9	18.596	18.649	0.053	0.86559380	0.237	0.229
OGLE-LMC-ECL-17438	ELL	05:29:55.00	-70:04:27.5	16.034	15.961	-0.073	2.35015540	0.069	0.032
OGLE-LMC-ECL-17503	ELL	05:30:02.38	-71:51:00.9	18.114	18.989	0.875	28.91719010	0.149	0.124
OGLE-LMC-ECL-17583	ELL	05:30:13.07	-71:02:36.5	17.854	18.936	1.082	18.83638690	0.114	0.084
OGLE-LMC-ECL-17603	C	05:30:15.75	-69:12:18.5	18.866	18.930	0.064	0.83503110	0.494	0.481
OGLE-LMC-ECL-17631	C	05:30:19.51	-68:46:21.4	18.857	19.221	0.364	1.35304150	0.366	0.365
OGLE-LMC-ECL-17669	ELL	05:30:23.09	-69:07:45.4	14.845	14.882	0.037	4.29921940	0.050	0.038
OGLE-LMC-ECL-17688	C	05:30:25.35	-71:47:00.0	16.701	16.661	-0.040	2.07800050	0.105	0.085
OGLE-LMC-ECL-17768	ELL	05:30:34.51	-70:57:44.2	15.913	17.129	1.216	169.93674430	0.095	0.064
OGLE-LMC-ECL-17979	ELL	05:31:02.16	-67:54:54.7	17.236	17.250	0.014	1.43309700	0.193	0.126
OGLE-LMC-ECL-18071	C	05:31:11.11	-69:27:36.6	18.536	18.511	-0.025	0.49119500	0.637	0.636
OGLE-LMC-ECL-18099	ELL	05:31:14.52	-70:00:19.4	17.652	18.407	0.755	8.47890190	0.070	0.069
OGLE-LMC-ECL-18221	ELL	05:31:30.65	-68:32:22.2	16.324	16.582	0.258	1.24637860	0.120	0.103
OGLE-LMC-ECL-18264	C	05:31:36.39	-68:59:24.7	17.402	17.378	-0.024	0.55884800	0.727	0.722
OGLE-LMC-ECL-18326	ELL	05:31:44.54	-71:07:40.4	15.354	16.850	1.496	131.66608360	0.168	0.117
OGLE-LMC-ECL-18652	ELL	05:32:25.87	-70:09:46.8	15.883	17.305	1.422	115.89365900	0.181	0.109
OGLE-LMC-ECL-18727	ELL	05:32:36.72	-69:24:44.4	14.370	14.432	0.062	10.35701260	0.057	0.041
OGLE-LMC-ECL-18774	C	05:32:44.44	-68:24:35.8	14.609	14.737	0.128	1.13308040	0.634	0.629
OGLE-LMC-ECL-18865	C	05:32:56.86	-70:44:37.2	17.461	17.354	-0.107	0.59524880	0.596	0.587
OGLE-LMC-ECL-18960	ELL	05:33:08.99	-71:51:30.8	18.011	19.041	1.030	12.54928380	0.150	0.137
OGLE-LMC-ECL-18972	ELL	05:33:10.26	-68:32:01.5	17.706	18.131	0.425	10.76113230	0.080	0.054
OGLE-LMC-ECL-19005	C	05:33:14.45	-68:30:12.4	14.894	14.735	-0.159	1.11312990	0.572	0.534
OGLE-LMC-ECL-19010	ELL	05:33:14.91	-70:11:23.6	17.234	17.251	0.017	0.84968700	0.042	0.014
OGLE-LMC-ECL-19212	ELL	05:33:41.45	-69:45:46.9	14.775	16.064	1.289	185.13620030	0.052	0.036
OGLE-LMC-ECL-19234	ELL	05:33:44.77	-69:34:19.4	15.950	17.281	1.331	205.69047500	0.078	0.050
OGLE-LMC-ECL-19274	ELL	05:33:50.59	-71:13:49.4	17.406	17.550	0.144	1.01920500	0.086	0.042
OGLE-LMC-ECL-19281	ELL	05:33:51.82	-69:35:25.7	15.590	17.245	1.655	264.69627290	0.068	0.038
OGLE-LMC-ECL-19328	ELL	05:33:56.98	-68:46:54.7	18.558	19.622	1.064	23.11966100	0.120	0.119
OGLE-LMC-ECL-19348	C	05:33:59.68	-69:25:37.5	18.490	18.579	0.089	1.28111630	0.161	0.146
OGLE-LMC-ECL-19387	C	05:34:05.97	-68:36:46.4	18.256	18.427	0.171	1.59448580	0.213	0.206
OGLE-LMC-ECL-19401	ELL	05:34:07.84	-69:05:11.7	17.617	18.311	0.694	11.35757190	0.098	0.047
OGLE-LMC-ECL-19481	ELL	05:34:18.09	-71:32:08.3	17.345	17.360	0.015	1.50111710	0.090	0.044
OGLE-LMC-ECL-19506	ELL	05:34:21.53	-70:43:36.8	17.849	17.822	-0.027	0.80097400	0.070	0.043
OGLE-LMC-ECL-19560	ELL	05:34:30.48	-71:11:12.3	18.453	18.437	-0.016	0.77956260	0.143	0.059
OGLE-LMC-ECL-19575	ELL	05:34:31.94	-69:39:59.7	17.590	17.641	0.051	5.83756390	0.086	0.077
OGLE-LMC-ECL-19615	C	05:34:37.75	-69:48:25.9	17.066	17.152	0.086	2.11526760	0.096	0.087
OGLE-LMC-ECL-19646	ELL	05:34:43.55	-71:16:32.4	14.471	15.868	1.397	322.08133920	0.045	0.023
OGLE-LMC-ECL-19784	ELL	05:35:06.34	-70:16:26.5	16.058	16.665	0.607	18.35025990	0.200	0.102
OGLE-LMC-ECL-19911	ELL	05:35:22.27	-70:13:56.0	17.352	17.642	0.290	4.87225020	0.091	0.084
OGLE-LMC-ECL-19959	C	05:35:29.41	-69:40:42.6	16.446	16.355	-0.091	0.75049530	0.836	0.835
OGLE-LMC-ECL-20008	C	05:35:36.22	-69:12:02.7	17.543	18.389	0.846	1.34203050	0.179	0.146
OGLE-LMC-ECL-20199	C	05:35:58.68	-69:40:16.8	16.042	15.937	-0.105	0.80463280	0.300	0.299
OGLE-LMC-ECL-20227	ELL	05:36:01.59	-70:14:14.9	15.782	17.153	1.371	223.90046330	0.046	0.040
OGLE-LMC-ECL-20238	C	05:36:03.02	-69:38:50.5	16.258	17.079	0.821	1.37826150	0.111	0.101
OGLE-LMC-ECL-20251	ELL	05:36:04.81	-70:49:14.7	18.024	18.642	0.618	0.37407800	0.225	0.184
OGLE-LMC-ECL-20256	ELL	05:36:05.55	-70:38:51.4	17.733	18.360	0.627	22.72577830	0.167	0.130
OGLE-LMC-ECL-20269	ELL	05:36:07.42	-69:50:15.4	17.607	17.696	0.089	3.19624090	0.104	0.044
OGLE-LMC-ECL-20276	C	05:36:08.19	-69:38:19.7	17.063	17.591	0.528	0.78367470	0.090	0.077
OGLE-LMC-ECL-20295	ELL	05:36:10.43	-71:00:01.8	17.583	17.701	0.118	1.92379000	0.120	0.080
OGLE-LMC-ECL-20453	ELL	05:36:29.65	-70:14:40.6	17.080	17.039	-0.041	1.71759800	0.065	0.062
OGLE-LMC-ECL-20478	C	05:36:32.30	-69:20:51.7	13.161	13.254	0.093	8.09846370	0.535	0.493
OGLE-LMC-ECL-20486	ELL	05:36:33.65	-70:42:57.7	19.232	19.372	0.140	0.75040580	0.516	0.269
OGLE-LMC-ECL-20523	ELL	05:36:38.78	-69:57:55.7	17.844	19.047	1.203	30.88829280	0.169	0.148
OGLE-LMC-ECL-20541	ELL	05:36:42.11	-69:26:27.2	14.560	14.406	-0.154	1.76259860	0.028	0.017
OGLE-LMC-ECL-20565	ELL	05:36:45.15	-69:36:38.7	18.241	18.630	0.389	4.57568720	0.125	0.097
OGLE-LMC-ECL-20613	C	05:36:52.14	-69:10:22.0	16.752	16.976	0.224	1.06889310	0.181	0.170
OGLE-LMC-ECL-20655	C	05:36:57.76	-69:09:41.7	15.471	15.751	0.280	1.49612050	0.301	0.282
OGLE-LMC-ECL-20679	C	05:37:00.69	-69:27:11.0	16.367	16.516	0.149	0.67599240	0.200	0.199
OGLE-LMC-ECL-20686	ELL	05:37:01.32	-71:21:23.9	15.657	17.369	1.712	364.68518360	0.046	0.025
OGLE-LMC-ECL-20752	ELL	05:37:09.80	-69:49:21.9	17.689	18.882	1.193	12.14500900	0.179	0.121
OGLE-LMC-ECL-20808	C	05:37:17.37	-69:07:48.0	14.645	14.806	0.161	6.58270680	0.067	0.062
OGLE-LMC-ECL-20813	C	05:37:18.10	-68:59:47.4	18.756	19.163	0.407	1.48483170	0.305	0.297
OGLE-LMC-ECL-20879	ELL	05:37:26.49	-69:42:10.2	15.613	17.387	1.774	393.08322680	0.053	0.035
OGLE-LMC-ECL-20906	C	05:37:30.66	-69:49:04.6	16.683	16.839	0.156	1.88287100	0.159	0.145
OGLE-LMC-ECL-20908	C	05:37:30.74	-69:05:17.5	15.008	15.270	0.262	2.33342760	0.361	0.346
OGLE-LMC-ECL-20929	ELL	05:37:33.16	-69:49:58.0	15.630	17.084	1.454	298.80277430	0.066	0.050
OGLE-LMC-ECL-20991	C	05:37:40.64	-69:11:12.2	18.086	18.973	0.887	0.56850280	0.517	0.516
OGLE-LMC-ECL-21002	C	05:37:42.11	-70:14:27.2	17.328	17.386	0.058	8.76058520	0.091	0.085
OGLE-LMC-ECL-21024	ELL	05:37:45.71	-68:15:12.8	18.779	19.722	0.943	117.12878670	0.050	0.049
OGLE-LMC-ECL-21029	C	05:37:46.54	-67:47:36.9	17.878	17.911	0.033	0.90417250	0.363	0.305
OGLE-LMC-ECL-21032	ELL	05:37:47.03	-71:15:21.3	17.295	17.327	0.032	0.95529130	0.082	0.053
OGLE-LMC-ECL-21038	C	05:37:47.69	-69:16:25.8	15.359	15.584	0.225	1.73917190	0.128	0.126
OGLE-LMC-ECL-21066	C	05:37:50.51	-71:39:53.7	17.682	17.721	0.039	0.51219310	0.380	0.349
OGLE-LMC-ECL-21103	C	05:37:55.95	-69:16:39.4	17.214	17.357	0.143	0.87127570	0.235	0.182
OGLE-LMC-ECL-21107	ELL	05:37:56.11	-69:36:04.5	15.220	16.809	1.589	303.32423470	0.110	0.109
OGLE-LMC-ECL-21117	C	05:37:57.30	-67:56:41.5	17.085	17.018	-0.067	1.13801410	0.131	0.129
OGLE-LMC-ECL-21220	C	05:38:14.75	-69:01:33.5	17.843	18.072	0.229	0.56009990	0.749	0.731
OGLE-LMC-ECL-21228	ELL	05:38:15.86	-71:16:41.5	16.915	17.334	0.419	15.07589850	0.152	0.113
OGLE-LMC-ECL-21271	C	05:38:21.88	-68:24:27.1	17.881	18.516	0.635	24.34223000	0.185	0.167
OGLE-LMC-ECL-21313	C	05:38:28.09	-69:06:44.5	18.038	18.641	0.603	0.66461780	0.646	0.637
OGLE-LMC-ECL-21424	ELL	05:38:41.05	-69:29:21.0	17.284	18.661	1.377	31.55467340	0.197	0.147
OGLE-LMC-ECL-21441	ELL	05:38:42.69	-70:06:26.8	17.433	17.894	0.461	2.35383750	0.076	0.064
OGLE-LMC-ECL-21488	ELL	05:38:47.55	-69:58:08.5	18.096	19.259	1.163	16.57567030	0.115	0.079
OGLE-LMC-ECL-21527	ELL	05:38:52.46	-67:46:33.6	17.859	18.905	1.046	15.40778530	0.118	0.108
OGLE-LMC-ECL-21556	C	05:38:56.33	-68:46:05.7	17.525	17.729	0.204	0.63961700	0.867	0.853
OGLE-LMC-ECL-21682	ELL	05:39:18.88	-69:36:57.8	14.145	14.245	0.100	5.32411260	0.102	0.084
OGLE-LMC-ECL-21736	C	05:39:30.71	-69:39:12.0	14.625	15.018	0.393	1.71651070	0.257	0.243
OGLE-LMC-ECL-21847	C	05:39:46.38	-69:48:09.9	17.506	17.803	0.297	0.68203100	0.147	0.145
OGLE-LMC-ECL-21850	ELL	05:39:47.68	-71:09:54.8	18.026	19.123	1.097	22.39234050	0.116	0.092
OGLE-LMC-ECL-21863	C	05:39:49.96	-71:25:24.0	18.338	19.459	1.121	9.84115280	0.232	0.208
OGLE-LMC-ECL-21888	C	05:39:53.00	-69:45:18.1	15.064	15.643	0.579	1.00848740	0.419	0.417
OGLE-LMC-ECL-21897	C	05:39:53.54	-69:43:21.0	15.299	15.529	0.230	0.80353440	0.262	0.261
OGLE-LMC-ECL-21982	C	05:40:04.97	-71:01:12.0	17.614	17.647	0.033	0.79460720	0.389	0.319
OGLE-LMC-ECL-21983	C	05:40:05.29	-68:28:35.2	17.415	17.640	0.225	1.08340100	0.253	0.248
OGLE-LMC-ECL-22000	C	05:40:07.55	-69:24:31.9	13.166	13.187	0.021	1.55294530	0.216	0.198
OGLE-LMC-ECL-22004	ELL	05:40:08.16	-70:39:23.0	14.689	14.702	0.013	1.46214740	0.175	0.138
OGLE-LMC-ECL-22013	C	05:40:09.29	-69:38:37.4	16.442	17.019	0.577	0.77726170	0.208	0.208
OGLE-LMC-ECL-22033	C	05:40:11.82	-70:20:16.8	19.006	19.217	0.211	1.14171260	0.246	0.235
OGLE-LMC-ECL-22075	C	05:40:19.64	-69:33:38.2	17.396	17.524	0.128	0.92099160	0.222	0.185
OGLE-LMC-ECL-22076	C	05:40:19.73	-69:49:14.1	18.559	18.969	0.410	1.86114490	0.241	0.214
OGLE-LMC-ECL-22145	ELL	05:40:28.88	-69:40:38.5	17.035	17.330	0.295	1.35997950	0.143	0.094
OGLE-LMC-ECL-22146	C	05:40:29.58	-71:14:05.7	16.745	16.755	0.010	0.68868060	0.346	0.338
OGLE-LMC-ECL-22162	C	05:40:31.58	-71:21:12.5	19.096	19.175	0.079	0.63116860	0.399	0.355
OGLE-LMC-ECL-22221	C	05:40:40.10	-68:43:52.0	17.632	17.705	0.073	0.61490330	0.395	0.388
OGLE-LMC-ECL-22225	ELL	05:40:40.81	-69:16:30.6	15.667	15.978	0.311	3.56006010	0.080	0.066
OGLE-LMC-ECL-22265	ELL	05:40:46.49	-70:18:35.8	16.829	18.118	1.289	94.49669320	0.047	0.033
OGLE-LMC-ECL-22337	ELL	05:40:57.46	-69:56:51.1	17.613	18.776	1.163	23.43491510	0.105	0.089
OGLE-LMC-ECL-22394	C	05:41:05.92	-68:54:19.8	16.173	17.444	1.271	116.96412790	0.073	0.069
OGLE-LMC-ECL-22399	ELL	05:41:06.85	-68:50:40.7	15.748	15.755	0.007	1.12507990	0.119	0.086
OGLE-LMC-ECL-22408	ELL	05:41:08.06	-69:59:20.0	16.230	16.265	0.035	0.97759960	0.082	0.058
OGLE-LMC-ECL-22431	C	05:41:11.65	-72:16:08.0	17.928	18.998	1.070	14.78582270	0.208	0.196
OGLE-LMC-ECL-22442	ELL	05:41:12.57	-69:26:08.7	13.673	13.640	-0.033	8.58284820	0.101	0.088
OGLE-LMC-ECL-22452	C	05:41:13.67	-69:39:45.1	16.495	16.461	-0.034	0.67139300	0.932	0.912
OGLE-LMC-ECL-22482	C	05:41:17.45	-69:17:43.0	14.040	14.759	0.719	0.38841020	0.112	0.106
OGLE-LMC-ECL-22550	ELL	05:41:29.13	-68:27:30.7	18.589	19.693	1.104	95.61892800	0.033	0.023
OGLE-LMC-ECL-22556	C	05:41:29.64	-69:22:28.1	15.898	15.980	0.082	1.76508740	0.059	0.055
OGLE-LMC-ECL-22612	C	05:41:37.16	-69:34:30.0	16.060	16.093	0.033	0.88065950	0.271	0.236
OGLE-LMC-ECL-22639	C	05:41:41.96	-69:47:08.1	16.947	16.908	-0.039	0.71579010	0.746	0.731
OGLE-LMC-ECL-22677	ELL	05:41:47.16	-69:04:55.0	16.977	17.169	0.192	2.34687830	0.138	0.066
OGLE-LMC-ECL-22682	ELL	05:41:48.23	-69:14:00.9	17.510	17.650	0.140	0.78745280	0.095	0.068
OGLE-LMC-ECL-22687	ELL	05:41:48.94	-69:25:22.5	18.041	18.040	-0.001	0.56170000	0.113	0.083
OGLE-LMC-ECL-22707	C	05:41:51.50	-70:39:27.1	18.152	18.393	0.241	1.48815460	0.154	0.138
OGLE-LMC-ECL-22831	C	05:42:07.57	-69:40:31.4	15.158	14.992	-0.166	0.65536540	0.189	0.189
OGLE-LMC-ECL-22840	ELL	05:42:08.67	-69:52:39.2	16.032	17.291	1.259	97.04066180	0.050	0.047
OGLE-LMC-ECL-22855	ELL	05:42:10.35	-69:48:35.7	17.767	18.914	1.147	17.81894890	0.125	0.112
OGLE-LMC-ECL-22901	C	05:42:17.88	-69:02:43.3	16.297	16.282	-0.015	1.36386490	0.069	0.056
OGLE-LMC-ECL-22921	C	05:42:22.42	-68:39:16.8	19.014	19.251	0.237	0.92590470	0.487	0.463
OGLE-LMC-ECL-22997	ELL	05:42:36.61	-69:03:41.0	15.277	15.360	0.083	0.65404280	0.040	0.032
OGLE-LMC-ECL-23069	ELL	05:42:47.83	-68:22:00.3	15.042	16.681	1.639	428.67777800	0.075	0.028
OGLE-LMC-ECL-23090	C	05:42:51.02	-71:34:25.3	18.398	19.292	0.894	41.98088420	0.074	0.070
OGLE-LMC-ECL-23102	ELL	05:42:53.26	-69:05:19.4	17.961	19.030	1.069	18.26263910	0.102	0.092
OGLE-LMC-ECL-23119	C	05:42:56.30	-71:49:42.6	18.559	19.494	0.935	11.51254760	0.196	0.179
