2455346.92962 17.036 0.011
2455347.91038 16.546 0.008
2455364.91330 16.893 0.008
2455376.93533 17.065 0.010
2455378.93673 16.757 0.008
2455380.90994 17.040 0.010
2455381.91905 17.030 0.010
2455384.88482 16.885 0.010
2455385.93178 17.035 0.008
2455387.85847 16.471 0.006
2455388.87480 16.731 0.008
2455389.88522 16.857 0.008
2455390.88782 17.028 0.008
2455392.87035 16.480 0.008
2455393.90097 16.771 0.008
2455395.88705 17.018 0.010
2455399.82584 16.816 0.008
2455400.88064 17.002 0.008
2455401.86992 16.989 0.010
2455403.86644 16.691 0.008
2455404.84823 16.827 0.008
2455405.85407 16.977 0.008
2455407.88731 16.504 0.008
2455408.87257 16.704 0.008
2455409.84598 16.823 0.008
2455410.84748 16.988 0.008
2455411.83479 17.027 0.009
2455412.82870 16.775 0.008
2455414.82782 16.816 0.006
2455421.80329 17.051 0.008
2455422.89407 16.488 0.007
2455425.87880 17.021 0.009
2455426.84494 17.016 0.008
2455427.88050 16.474 0.007
2455428.78380 16.576 0.007
2455430.76508 16.918 0.009
2455432.83694 16.801 0.009
2455433.81362 16.629 0.008
2455434.78442 16.745 0.008
2455435.78095 16.904 0.008
2455436.79033 17.037 0.008
2455437.83264 16.876 0.008
2455438.76769 16.551 0.007
2455439.74702 16.728 0.008
2455443.74722 16.534 0.007
2455444.75573 16.730 0.008
2455445.77315 16.912 0.008
2455447.76087 16.972 0.008
2455448.72441 16.474 0.006
2455449.71939 16.704 0.007
2455450.76381 16.903 0.008
2455453.79130 16.580 0.007
2455454.74144 16.718 0.007
2455457.69285 17.011 0.008
2455458.72819 16.478 0.007
2455459.72805 16.706 0.008
2455462.68165 17.047 0.009
2455463.74260 16.486 0.007
2455464.77448 16.759 0.008
2455465.78190 16.918 0.009
2455467.70243 17.029 0.008
2455468.68226 16.856 0.008
2455469.72648 16.697 0.007
2455470.67683 16.823 0.008
2455471.67455 16.963 0.008
2455472.68224 17.039 0.008
2455473.70425 16.593 0.006
2455475.79790 16.922 0.008
2455476.69916 16.970 0.008
2455477.66515 17.060 0.008
2455478.62494 16.998 0.008
2455479.79627 16.769 0.008
2455480.63487 16.762 0.008
2455481.61172 16.886 0.008
2455482.62655 17.063 0.010
2455483.60239 16.914 0.008
2455484.62836 16.544 0.008
2455485.59840 16.721 0.008
2455487.64572 17.035 0.008
2455488.59175 16.924 0.008
2455489.61359 16.523 0.008
2455490.61061 16.745 0.008
2455491.59238 16.839 0.009
2455492.60355 17.014 0.009
2455493.57374 16.977 0.010
2455494.61451 16.525 0.007
2455495.60423 16.736 0.008
2455497.58370 16.994 0.008
2455498.59162 16.954 0.009
2455499.60215 16.494 0.007
2455502.60256 17.006 0.008
2455503.57309 17.001 0.008
2455504.58352 16.461 0.007
2455505.58476 16.717 0.008
2455506.58815 16.846 0.008
2455507.57136 16.992 0.008
2455508.55406 17.020 0.008
2455509.54724 16.662 0.007
2455510.59036 16.723 0.008
2455511.57613 16.849 0.008
2455512.56384 16.992 0.008
2455513.56438 17.009 0.009
2455514.62484 16.518 0.007
2455515.56643 16.697 0.008
2455516.55560 16.860 0.009
2455517.55239 16.969 0.009
2455518.56409 17.019 0.008
2455519.56153 16.573 0.008
2455521.56617 16.848 0.009
2455522.57337 16.991 0.010
2455523.59755 16.976 0.009
2455525.53777 16.656 0.008
2455526.56688 16.843 0.008
2455527.56955 16.983 0.008
2455529.53815 16.912 0.008
2455530.58174 16.689 0.007
2455533.54571 17.036 0.008
2455534.58598 16.487 0.007
2455535.58929 16.697 0.008
2455539.57339 16.563 0.007
2455540.57863 16.679 0.007
2455542.54869 16.963 0.008
2455544.60520 16.478 0.007
2455546.54828 16.802 0.008
2455547.58672 16.997 0.009
2455550.59713 16.714 0.008
2455551.59038 16.844 0.009
2455554.58452 16.538 0.008
2455556.59386 16.858 0.008
2455558.57357 17.019 0.008
2455561.56047 16.823 0.008
2455563.56569 17.026 0.008
2455567.56902 16.972 0.008
2455570.62649 16.720 0.008
2455573.55733 17.061 0.008
2455578.55664 17.029 0.011
2455581.55990 16.804 0.010
2455583.55571 17.054 0.009
2455592.54866 16.948 0.008
2455699.88776 16.743 0.009
2455702.93808 17.015 0.014
2455724.86732 16.708 0.007
2455725.91208 16.907 0.008
2455729.92387 16.799 0.010
2455734.94852 16.781 0.008
2455737.92580 17.028 0.008
2455740.91534 16.912 0.008
2455740.94528 16.952 0.010
2455743.90421 16.520 0.007
